                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 111.27,                      0,                      0,                      0,                      0,                      0,                      0,                 219.74,                      0,                  8e-05,                  8e-05,                  8e-05
                      2,                      0,                 107.98,                      0,                      0,                      0,                      0,                      0,                      0,                 219.81,                      0,              0.0001206,              0.0001206,              0.0001206
                      3,                      0,                 104.45,                      0,                      0,                      0,                      0,                      0,                      0,                 220.85,                      0,               9.52e-05,               9.52e-05,               9.52e-05
